recId,driverId,frame,precedingId,precedingXVelocity,v,delta_v,s,idm_ga,idm_mle,idm_de,s_star_ga,s_star_mle,s_star_de,XAcceleration
1,11,114,10,22.82,23.87,1.05,10.41,-0.8356,-0.8356,-0.8356,31.6576,31.6576,31.6576,0.04
1,11,115,10,22.81,23.87,1.06,10.36,-0.8545,-0.8545,-0.8545,31.8264,31.8264,31.8264,0.06
1,11,116,10,22.8,23.87,1.07,10.33,-0.8701,-0.8701,-0.8701,31.9951,31.9951,31.9951,0.07
1,11,117,10,22.79,23.87,1.08,10.28,-0.8897,-0.8897,-0.8897,32.1639,32.1639,32.1639,0.09
1,11,118,10,22.78,23.88,1.1,10.24,-0.919,-0.919,-0.919,32.5143,32.5143,32.5143,0.11
1,11,119,10,22.77,23.88,1.11,10.19,-0.9395,-0.9395,-0.9395,32.6831,32.6831,32.6831,0.12
1,11,120,10,22.76,23.88,1.12,10.14,-0.9604,-0.9604,-0.9604,32.852,32.852,32.852,0.14
1,11,121,10,22.75,23.89,1.14,10.1,-0.9915,-0.9915,-0.9915,33.2028,33.2028,33.2028,0.15
1,11,122,10,22.74,23.9,1.16,10.07,-1.0211,-1.0211,-1.0211,33.5538,33.5538,33.5538,0.17
1,11,123,10,22.73,23.9,1.17,10.02,-1.0435,-1.0435,-1.0435,33.7228,33.7228,33.7228,0.18
1,11,124,10,22.72,23.91,1.19,9.97,-1.0789,-1.0789,-1.0789,34.0742,34.0742,34.0742,0.2
1,11,125,10,22.71,23.92,1.21,9.93,-1.1128,-1.1128,-1.1128,34.4259,34.4259,34.4259,0.22
1,11,126,10,22.7,23.93,1.23,9.88,-1.1499,-1.1499,-1.1499,34.7779,34.7779,34.7779,0.23
1,11,127,10,22.69,23.94,1.25,9.83,-1.1881,-1.1881,-1.1881,35.1302,35.1302,35.1302,0.25
1,11,128,10,22.68,23.95,1.27,9.78,-1.2272,-1.2272,-1.2272,35.4827,35.4827,35.4827,0.27
1,11,129,10,22.67,23.96,1.29,9.74,-1.2646,-1.2646,-1.2646,35.8355,35.8355,35.8355,0.28
1,11,130,10,22.66,23.97,1.31,9.69,-1.3057,-1.3057,-1.3057,36.1886,36.1886,36.1886,0.3
1,11,131,10,22.65,23.98,1.33,9.63,-1.3509,-1.3509,-1.3509,36.542,36.542,36.542,0.32
1,11,132,10,22.63,23.99,1.36,9.58,-1.4079,-1.4079,-1.4079,37.0653,37.0653,37.0653,0.33
1,11,133,10,22.62,24.01,1.39,9.53,-1.468,-1.468,-1.468,37.6039,37.6039,37.6039,0.35
1,11,134,10,22.61,24.02,1.41,9.48,-1.5143,-1.5143,-1.5143,37.9584,37.9584,37.9584,0.37
1,11,135,10,22.6,24.03,1.43,9.43,-1.5618,-1.5618,-1.5618,38.3132,38.3132,38.3132,0.39
1,11,136,10,22.59,24.05,1.46,9.39,-1.6232,-1.6232,-1.6232,38.8536,38.8536,38.8536,0.4
1,11,137,10,22.58,24.07,1.49,9.34,-1.6902,-1.6902,-1.6902,39.3949,39.3949,39.3949,0.42
1,11,138,10,22.57,24.08,1.51,9.29,-1.7421,-1.7421,-1.7421,39.751,39.751,39.751,0.44
1,11,139,10,22.56,24.1,1.54,9.25,-1.8087,-1.8087,-1.8087,40.2936,40.2936,40.2936,0.45
1,11,140,10,22.55,24.12,1.57,9.19,-1.8858,-1.8858,-1.8858,40.837,40.837,40.837,0.47
1,11,141,10,22.54,24.14,1.6,9.12,-1.9701,-1.9701,-1.9701,41.3813,41.3813,41.3813,0.48
1,11,142,10,22.53,24.16,1.63,9.04,-2.0623,-2.0623,-2.0623,41.9264,41.9264,41.9264,0.5
1,11,143,10,22.52,24.18,1.66,8.96,-2.1583,-2.1583,-2.1583,42.4724,42.4724,42.4724,0.52
1,11,144,10,22.51,24.2,1.69,8.9,-2.2478,-2.2478,-2.2478,43.0193,43.0193,43.0193,0.53
1,11,145,10,22.5,24.22,1.72,8.82,-2.3513,-2.3513,-2.3513,43.5669,43.5669,43.5669,0.55
1,11,146,10,22.5,24.24,1.74,8.75,-2.4337,-2.4337,-2.4337,43.9441,43.9441,43.9441,0.56
1,11,147,10,22.49,24.26,1.77,8.69,-2.533,-2.533,-2.533,44.4933,44.4933,44.4933,0.57
1,11,148,10,22.48,24.29,1.81,8.62,-2.6651,-2.6651,-2.6651,45.2329,45.2329,45.2329,0.59
1,11,149,10,22.47,24.31,1.84,8.55,-2.7791,-2.7791,-2.7791,45.7842,45.7842,45.7842,0.6
1,11,150,10,22.46,24.33,1.87,8.46,-2.9115,-2.9115,-2.9115,46.3363,46.3363,46.3363,0.61
1,11,151,10,22.45,24.36,1.91,8.38,-3.068,-3.068,-3.068,47.08,47.08,47.08,0.63
1,11,152,10,22.44,24.38,1.94,8.29,-3.2133,-3.2133,-3.2133,47.6342,47.6342,47.6342,0.64
1,11,153,10,22.44,24.41,1.97,8.21,-3.3597,-3.3597,-3.3597,48.2081,48.2081,48.2081,0.65
1,11,154,10,22.43,24.44,2.01,8.15,-3.5201,-3.5201,-3.5201,48.9562,48.9562,48.9562,0.66
1,11,155,10,22.42,24.46,2.04,8.07,-3.6763,-3.6763,-3.6763,49.5135,49.5135,49.5135,0.67
1,11,156,10,22.41,24.49,2.08,7.99,-3.8695,-3.8695,-3.8695,50.2645,50.2645,50.2645,0.68
1,11,157,10,22.41,24.52,2.11,7.89,-4.0646,-4.0646,-4.0646,50.8437,50.8437,50.8437,0.69
1,11,158,10,22.4,24.55,2.15,7.81,-4.2768,-4.2768,-4.2768,51.5979,51.5979,51.5979,0.7
1,11,159,10,22.39,24.57,2.18,7.73,-4.4652,-4.4652,-4.4652,52.1595,52.1595,52.1595,0.71
1,11,160,10,22.39,24.6,2.21,7.64,-4.678,-4.678,-4.678,52.7426,52.7426,52.7426,0.72
1,11,161,10,22.38,24.63,2.25,7.58,-4.894,-4.894,-4.894,53.5011,53.5011,53.5011,0.73
1,11,162,10,22.37,24.66,2.29,7.52,-5.1188,-5.1188,-5.1188,54.2613,54.2613,54.2613,0.73
1,11,163,10,22.37,24.69,2.32,7.44,-5.3472,-5.3472,-5.3472,54.8486,54.8486,54.8486,0.74
1,11,164,7,34.47,24.72,-9.75,26.71,0.0876,0.0876,0.0876,0.001,0.001,0.001,0.75
1,11,165,7,34.47,24.75,-9.72,27.11,0.0876,0.0876,0.0876,0.001,0.001,0.001,0.75
1,11,166,7,34.48,24.78,-9.7,27.5,0.0875,0.0875,0.0875,0.001,0.001,0.001,0.76
1,11,167,7,34.48,24.81,-9.67,27.88,0.0874,0.0874,0.0874,0.001,0.001,0.001,0.76
1,11,168,7,34.49,24.84,-9.65,28.27,0.0874,0.0874,0.0874,0.001,0.001,0.001,0.77
1,11,169,7,34.5,24.87,-9.63,28.63,0.0873,0.0873,0.0873,0.001,0.001,0.001,0.77
1,11,170,7,34.5,24.9,-9.6,28.97,0.0872,0.0872,0.0872,0.001,0.001,0.001,0.77
1,11,171,7,34.51,24.93,-9.58,29.33,0.0872,0.0872,0.0872,0.001,0.001,0.001,0.77
1,11,172,7,34.51,24.97,-9.54,29.72,0.0871,0.0871,0.0871,0.001,0.001,0.001,0.78
1,11,173,7,34.52,25.0,-9.52,30.1,0.087,0.087,0.087,0.001,0.001,0.001,0.78
1,11,174,7,34.53,25.03,-9.5,30.48,0.087,0.087,0.087,0.001,0.001,0.001,0.78
1,11,175,7,34.53,25.06,-9.47,30.87,0.0869,0.0869,0.0869,0.001,0.001,0.001,0.78
1,11,176,7,34.54,25.09,-9.45,31.25,0.0869,0.0869,0.0869,0.001,0.001,0.001,0.78
1,11,177,7,34.54,25.12,-9.42,31.64,0.0868,0.0868,0.0868,0.001,0.001,0.001,0.78
1,11,178,7,34.55,25.15,-9.4,32.02,0.0867,0.0867,0.0867,0.001,0.001,0.001,0.79
1,11,179,7,34.56,25.18,-9.38,32.39,0.0867,0.0867,0.0867,0.001,0.001,0.001,0.79
1,11,180,7,34.56,25.22,-9.34,32.76,0.0866,0.0866,0.0866,0.001,0.001,0.001,0.79
1,11,181,7,34.57,25.25,-9.32,33.13,0.0865,0.0865,0.0865,0.001,0.001,0.001,0.79
1,11,182,7,34.57,25.28,-9.29,33.52,0.0864,0.0864,0.0864,0.001,0.001,0.001,0.79
1,11,183,7,34.58,25.31,-9.27,33.89,0.0864,0.0864,0.0864,0.001,0.001,0.001,0.79
1,11,184,7,34.58,25.34,-9.24,34.26,0.0863,0.0863,0.0863,0.001,0.001,0.001,0.79
1,11,185,7,34.59,25.37,-9.22,34.63,0.0863,0.0863,0.0863,0.001,0.001,0.001,0.79
1,11,186,7,34.6,25.41,-9.19,35.0,0.0862,0.0862,0.0862,0.001,0.001,0.001,0.79
1,11,187,7,34.6,25.44,-9.16,35.38,0.0861,0.0861,0.0861,0.001,0.001,0.001,0.79
1,11,188,7,34.61,25.47,-9.14,35.75,0.086,0.086,0.086,0.001,0.001,0.001,0.79
1,11,189,7,34.61,25.5,-9.11,36.12,0.086,0.086,0.086,0.001,0.001,0.001,0.79
1,11,190,7,34.62,25.53,-9.09,36.49,0.0859,0.0859,0.0859,0.001,0.001,0.001,0.79
1,11,191,7,34.62,25.57,-9.05,36.85,0.0858,0.0858,0.0858,0.001,0.001,0.001,0.79
1,11,192,7,34.63,25.6,-9.03,37.19,0.0858,0.0858,0.0858,0.001,0.001,0.001,0.79
1,11,193,7,34.64,25.63,-9.01,37.54,0.0857,0.0857,0.0857,0.001,0.001,0.001,0.79
1,11,194,7,34.64,25.66,-8.98,37.88,0.0856,0.0856,0.0856,0.001,0.001,0.001,0.79
1,11,195,7,34.65,25.69,-8.96,38.23,0.0855,0.0855,0.0855,0.001,0.001,0.001,0.78
1,11,196,0,25.72,25.72,1.0,250.0,0.0837,0.0837,0.0837,33.0468,33.0468,33.0468,0.78
1,11,197,0,25.75,25.75,1.0,250.0,0.0837,0.0837,0.0837,33.083,33.083,33.083,0.78
1,11,198,0,25.79,25.79,1.0,250.0,0.0836,0.0836,0.0836,33.1313,33.1313,33.1313,0.78
1,11,199,0,25.82,25.82,1.0,250.0,0.0835,0.0835,0.0835,33.1675,33.1675,33.1675,0.78
1,11,200,0,25.85,25.85,1.0,250.0,0.0834,0.0834,0.0834,33.2037,33.2037,33.2037,0.78
1,11,201,0,25.88,25.88,1.0,250.0,0.0833,0.0833,0.0833,33.2399,33.2399,33.2399,0.78
1,11,202,0,25.91,25.91,1.0,250.0,0.0833,0.0833,0.0833,33.2761,33.2761,33.2761,0.77
1,11,203,0,25.94,25.94,1.0,250.0,0.0832,0.0832,0.0832,33.3123,33.3123,33.3123,0.77
1,11,204,0,25.97,25.97,1.0,250.0,0.0831,0.0831,0.0831,33.3486,33.3486,33.3486,0.77
1,11,205,0,26.0,26.0,1.0,250.0,0.0831,0.0831,0.0831,33.3848,33.3848,33.3848,0.77
1,11,206,0,26.03,26.03,1.0,250.0,0.083,0.083,0.083,33.421,33.421,33.421,0.77
1,11,207,0,26.06,26.06,1.0,250.0,0.0829,0.0829,0.0829,33.4572,33.4572,33.4572,0.77
1,11,208,0,26.1,26.1,1.0,250.0,0.0828,0.0828,0.0828,33.5055,33.5055,33.5055,0.77
1,11,209,0,26.13,26.13,1.0,250.0,0.0827,0.0827,0.0827,33.5417,33.5417,33.5417,0.76
1,11,210,0,26.16,26.16,1.0,250.0,0.0827,0.0827,0.0827,33.5779,33.5779,33.5779,0.76
1,11,211,0,26.19,26.19,1.0,250.0,0.0826,0.0826,0.0826,33.6141,33.6141,33.6141,0.76
1,11,212,0,26.22,26.22,1.0,250.0,0.0825,0.0825,0.0825,33.6503,33.6503,33.6503,0.76
1,11,213,0,26.25,26.25,1.0,250.0,0.0824,0.0824,0.0824,33.6866,33.6866,33.6866,0.75
1,11,214,0,26.28,26.28,1.0,250.0,0.0824,0.0824,0.0824,33.7228,33.7228,33.7228,0.75
1,11,215,0,26.31,26.31,1.0,250.0,0.0823,0.0823,0.0823,33.759,33.759,33.759,0.75
1,11,216,0,26.34,26.34,1.0,250.0,0.0822,0.0822,0.0822,33.7952,33.7952,33.7952,0.75
1,11,217,0,26.37,26.37,1.0,250.0,0.0821,0.0821,0.0821,33.8314,33.8314,33.8314,0.75
1,11,218,0,26.4,26.4,1.0,250.0,0.082,0.082,0.082,33.8676,33.8676,33.8676,0.74
1,11,219,0,26.43,26.43,1.0,250.0,0.082,0.082,0.082,33.9038,33.9038,33.9038,0.74
1,11,220,0,26.46,26.46,1.0,250.0,0.0819,0.0819,0.0819,33.94,33.94,33.94,0.74
1,11,221,0,26.49,26.49,1.0,250.0,0.0818,0.0818,0.0818,33.9763,33.9763,33.9763,0.74
1,11,222,0,26.52,26.52,1.0,250.0,0.0817,0.0817,0.0817,34.0125,34.0125,34.0125,0.74
1,11,223,0,26.55,26.55,1.0,250.0,0.0817,0.0817,0.0817,34.0487,34.0487,34.0487,0.74
1,11,224,0,26.58,26.58,1.0,250.0,0.0816,0.0816,0.0816,34.0849,34.0849,34.0849,0.74
1,11,225,0,26.6,26.6,1.0,250.0,0.0815,0.0815,0.0815,34.109,34.109,34.109,0.74
1,11,226,0,26.63,26.63,1.0,250.0,0.0814,0.0814,0.0814,34.1453,34.1453,34.1453,0.74
1,11,227,0,26.66,26.66,1.0,250.0,0.0814,0.0814,0.0814,34.1815,34.1815,34.1815,0.74
1,11,228,0,26.69,26.69,1.0,250.0,0.0813,0.0813,0.0813,34.2177,34.2177,34.2177,0.74
1,11,229,0,26.72,26.72,1.0,250.0,0.0812,0.0812,0.0812,34.2539,34.2539,34.2539,0.74
1,11,230,0,26.75,26.75,1.0,250.0,0.0811,0.0811,0.0811,34.2901,34.2901,34.2901,0.74
1,11,231,0,26.78,26.78,1.0,250.0,0.0811,0.0811,0.0811,34.3263,34.3263,34.3263,0.74
1,11,232,0,26.81,26.81,1.0,250.0,0.081,0.081,0.081,34.3625,34.3625,34.3625,0.74
1,11,233,0,26.84,26.84,1.0,250.0,0.0809,0.0809,0.0809,34.3987,34.3987,34.3987,0.74
1,11,234,0,26.87,26.87,1.0,250.0,0.0808,0.0808,0.0808,34.435,34.435,34.435,0.74
1,11,235,0,26.9,26.9,1.0,250.0,0.0807,0.0807,0.0807,34.4712,34.4712,34.4712,0.74
